,Te - AVG (oC),Time (Min),Tc - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Resistance (oC/W)
35,42.6,3.0,32.5,235.0,10.100000000000001,0.12625000000000003
36,43.0,4.5,32.5,260.0,10.5,0.13125
37,43.8,4.5,33.5,260.0,10.299999999999997,0.12874999999999998
38,44.666666666666664,6.5,28.25,260.0,16.416666666666664,0.2052083333333333
39,44.8,3.5,33.25,235.0,11.549999999999997,0.14437499999999998
40,45.0,5.0,33.25,260.0,11.75,0.146875
41,45.6,5.0,34.25,260.0,11.350000000000001,0.14187500000000003
42,46.4,4.0,34.25,235.0,12.149999999999999,0.15187499999999998
43,46.6,5.5,34.25,260.0,12.350000000000001,0.154375
44,47.333333333333336,7.0,29.0,260.0,18.333333333333336,0.22916666666666669
45,47.6,5.5,35.25,260.0,12.350000000000001,0.154375
46,48.0,6.0,35.25,260.0,12.75,0.159375
47,48.666666666666664,7.5,29.75,260.0,18.916666666666664,0.2364583333333333
48,49.0,5.25,36.125,260.0,12.875,0.1609375
49,50.0,6.5,35.75,260.0,14.25,0.178125
50,50.333333333333336,8.0,30.5,285.0,19.833333333333336,0.2479166666666667
51,50.4,5.0,36.25,260.0,14.149999999999999,0.17687499999999998
52,51.0,6.5,37.25,260.0,13.75,0.171875
53,51.8,7.0,36.75,285.0,15.049999999999997,0.18812499999999996
54,52.2,6.25,37.875,260.0,14.325000000000003,0.1790625
55,52.666666666666664,8.5,31.5,285.0,21.166666666666664,0.2645833333333333
56,53.6,6.75,38.0,272.5,15.600000000000001,0.195
57,54.0,7.5,39.0,260.0,15.0,0.1875
58,54.333333333333336,9.0,32.25,310.0,22.083333333333336,0.2760416666666667
59,54.8,6.5,39.0,285.0,15.799999999999997,0.19749999999999995
60,55.2,8.0,38.0,285.0,17.200000000000003,0.21500000000000002
61,55.8,8.0,40.0,285.0,15.799999999999997,0.19749999999999995
62,56.333333333333336,9.5,33.5,310.0,22.833333333333336,0.2854166666666667
63,56.4,7.0,39.5,285.0,16.9,0.21125
64,56.8,8.5,38.5,285.0,18.299999999999997,0.22874999999999995
65,57.666666666666664,10.0,34.25,310.0,23.416666666666664,0.2927083333333333
66,57.8,7.5,40.25,310.0,17.549999999999997,0.21937499999999996
67,58.0,8.75,39.75,297.5,18.25,0.22812500000000002
68,59.0,8.0,41.0,310.0,18.0,0.225
69,59.2,9.5,39.75,310.0,19.450000000000003,0.24312500000000004
70,59.333333333333336,10.5,35.25,310.0,24.083333333333336,0.3010416666666667
71,59.6,9.0,40.5,285.0,19.1,0.23875000000000002
72,60.2,8.5,41.5,310.0,18.700000000000003,0.23375000000000004
73,60.666666666666664,11.0,35.75,335.0,24.916666666666664,0.3114583333333333
74,60.8,10.0,41.0,310.0,19.799999999999997,0.24749999999999997
75,61.2,9.5,41.5,285.0,19.700000000000003,0.24625000000000002
