,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
157,18.5,351.54999999999995,333.4,13.083333333333329,0.6799437913132514,0.1635416666666666,-1127.4507766538534,-1069.2421815855348,-58.20859506831857
158,19.0,351.95,334.15,13.0,0.6799437913132514,0.1625,-1128.733610704946,-1071.647495431333,-57.086115273612904
159,19.5,351.95,334.15,13.0,0.6799437913132514,0.1625,-1128.733610704946,-1071.647495431333,-57.086115273612904
160,20.0,352.54999999999995,334.15,13.666666666666671,0.713274369318803,0.1708333333333334,-990.3870446086037,-938.697577523656,-51.68946708494764
161,20.5,352.95,335.15,13.0,0.713274369318803,0.1625,-991.5107286756679,-941.5067876913162,-50.00394098435174
162,21.0,353.34999999999997,335.15,13.333333333333329,0.713274369318803,0.1666666666666666,-992.6344127427319,-941.5067876913162,-51.12762505141575
163,21.5,353.34999999999997,335.9,12.583333333333329,0.713274369318803,0.1572916666666666,-992.6344127427319,-943.6136953170615,-49.020717425670455
164,22.0,353.75,335.65,13.166666666666671,0.713274369318803,0.1645833333333334,-993.758096809796,-942.9113927751464,-50.84670403464963
165,22.5,354.54999999999995,336.15,13.333333333333329,0.713274369318803,0.1666666666666666,-996.0054649439242,-944.3159978589765,-51.68946708494764
166,23.0,355.34999999999997,337.15,13.0,0.713274369318803,0.1625,-998.2528330780524,-947.1252080266366,-51.12762505141575
167,23.5,355.95,337.4,13.416666666666671,0.713274369318803,0.1677083333333334,-999.9383591786485,-947.8275105685517,-52.11084861009681
168,24.0,356.95,336.9,14.583333333333329,0.713274369318803,0.1822916666666666,-1002.7475693463086,-946.4229054847216,-56.324663861587055
169,24.5,356.95,336.4,14.75,0.713274369318803,0.184375,-1002.7475693463086,-945.0183004008916,-57.72926894541706
170,25.0,357.34999999999997,335.9,15.25,0.713274369318803,0.190625,-1003.8712534133726,-943.6136953170615,-60.257558096311186
171,25.5,357.95,337.15,14.666666666666671,0.7466049473243546,0.1833333333333334,-869.6429188775362,-819.1091216638115,-50.53379721372471
172,26.0,358.34999999999997,337.4,14.416666666666671,0.7466049473243546,0.1802083333333334,-870.6147226701079,-819.7164990341688,-50.898223635939075
173,26.5,358.34999999999997,337.4,14.416666666666671,0.7466049473243546,0.1802083333333334,-870.6147226701079,-819.7164990341688,-50.898223635939075
174,27.0,358.54999999999995,337.15,14.666666666666671,0.7466049473243546,0.1833333333333334,-871.1006245663935,-819.1091216638115,-51.991502902582056
175,27.5,358.95,337.9,13.916666666666671,0.7466049473243546,0.17395833333333338,-872.0724283589653,-820.9312537748833,-51.14117458408202
176,28.0,359.15,337.65,14.166666666666671,0.7466049473243546,0.1770833333333334,-872.558330255251,-820.3238764045261,-52.23445385072489
177,28.5,359.54999999999995,338.15,14.0,0.7466049473243546,0.175,-873.5301340478227,-821.5386311452405,-51.99150290258217
178,29.0,359.95,337.65,14.5,0.7466049473243546,0.18125,-874.5019378403944,-820.3238764045261,-54.178061435868244
