,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
77,38.5,364.15,347.15,17.0,1.1603574104540693,0.2125,450.2806424735156,429.2597144986432,21.020927974872397,DI Water 60,60
78,39.0,364.81666666666666,348.15,16.66666666666667,1.1603574104540693,0.2083333333333334,451.1049925901773,430.4962396736358,20.608752916541505,DI Water 60,60
79,39.5,365.15,348.65,16.5,1.1603574104540693,0.20625,451.51716764850806,431.114502261132,20.40266538737609,DI Water 60,60
80,40.0,365.4833333333333,347.9,17.58333333333333,1.1603574104540693,0.2197916666666666,451.9293427068389,430.18710837988766,21.742234326951237,DI Water 60,60
81,40.5,365.81666666666666,349.15,16.66666666666667,1.1603574104540693,0.2083333333333334,452.3415177651697,431.7327648486282,20.608752916541505,DI Water 60,60
82,41.0,366.15,349.65,16.5,1.1603574104540693,0.20625,452.7536928235006,432.3510274361245,20.40266538737609,DI Water 60,60
83,41.5,365.81666666666666,349.9,15.916666666666671,1.1603574104540693,0.1989583333333334,452.3415177651697,432.6601587298726,19.68135903529713,DI Water 60,60
84,42.0,366.15,349.4,16.75,1.2093933568158366,0.209375,578.7543875283137,552.2785279322485,26.47585959606522,DI Water 60,60
85,42.5,365.81666666666666,349.4,16.41666666666667,1.2093933568158366,0.2052083333333333,578.2275047502825,552.2785279322485,25.948976818034,DI Water 60,60
86,43.0,366.81666666666666,346.15,20.66666666666667,1.2093933568158366,0.2583333333333334,579.808153084376,547.1414208464448,32.66673223793123,DI Water 60,60
87,43.5,366.81666666666666,347.9,18.91666666666667,1.2093933568158366,0.2364583333333333,579.808153084376,549.9075554311083,29.90059765326771,DI Water 60,60
88,44.0,366.4833333333333,350.9,15.583333333333329,1.258429303177604,0.1947916666666666,700.3834679786993,670.602279995613,29.781187983086284,DI Water 60,60
89,44.5,366.4833333333333,349.9,16.58333333333333,1.258429303177604,0.2072916666666666,700.3834679786993,668.6911877186235,31.69228026007579,DI Water 60,60
90,45.0,366.4833333333333,349.15,17.33333333333333,1.258429303177604,0.2166666666666666,700.3834679786993,667.2578685108814,33.12559946781789,DI Water 60,60
91,45.5,366.81666666666666,349.4,17.41666666666667,1.258429303177604,0.2177083333333334,701.0204987376959,667.7356415801288,33.2848571575671,DI Water 60,60
92,46.0,366.81666666666666,349.65,17.16666666666667,1.258429303177604,0.2145833333333334,701.0204987376959,668.2134146493762,32.8070840883197,DI Water 60,60
93,46.5,367.15,349.65,17.5,1.258429303177604,0.21875,701.6575294966923,668.2134146493762,33.44411484731609,DI Water 60,60
94,47.0,367.15,350.15,17.0,1.258429303177604,0.2125,701.6575294966923,669.1689607878709,32.48856870882139,DI Water 60,60
95,47.5,366.81666666666666,350.9,15.916666666666671,1.258429303177604,0.1989583333333334,701.0204987376959,670.602279995613,30.4182187420829,DI Water 60,60
96,48.0,367.15,350.65,16.5,1.258429303177604,0.20625,701.6575294966923,670.1245069263657,31.53302257032658,DI Water 60,60
97,48.5,367.15,350.65,16.5,1.258429303177604,0.20625,701.6575294966923,670.1245069263657,31.53302257032658,DI Water 60,60
98,49.0,367.4833333333333,351.9,15.583333333333329,1.258429303177604,0.1947916666666666,702.2945602556888,672.5133722726025,29.781187983086284,DI Water 60,60
99,49.5,368.81666666666666,352.4,16.41666666666667,1.258429303177604,0.2052083333333333,704.8426832916748,673.4689184110973,31.37376488057748,DI Water 60,60
100,50.0,367.81666666666666,352.4,15.416666666666671,1.258429303177604,0.1927083333333334,702.9315910146853,673.4689184110973,29.462672603587976,DI Water 60,60
101,0.0,304.75,304.15,0.6000000000000014,0.4132991672688391,0.0075,-2238.728186679009,-2234.3205183869422,-4.407668292067228,DI Water 60,60
102,0.5,304.95,304.15,0.8000000000000007,0.4132991672688391,0.01,-2240.197409443032,-2234.3205183869422,-5.876891056089335,DI Water 60,60
103,1.0,305.75,304.4,1.3500000000000014,0.4132991672688391,0.016875,-2246.0743004991214,-2236.1570468419704,-9.917253657150924,DI Water 60,60
104,1.5,306.95,304.9,2.049999999999997,0.4132991672688391,0.0256249999999999,-2254.889637083255,-2239.8301037520264,-15.059533331228522,DI Water 60,60
105,2.0,308.75,305.15,3.6000000000000014,0.4132991672688391,0.045,-2268.112641959456,-2241.666632207054,-26.44600975240201,DI Water 60,60
106,2.5,310.75,305.65,5.100000000000001,0.4132991672688391,0.06375,-2282.804869599679,-2245.3396891171096,-37.465180482569394,DI Water 60,60
107,3.0,312.35,306.4,5.950000000000003,0.4132991672688391,0.074375,-2294.5586517118577,-2250.849274482194,-43.70937722966392,DI Water 60,60
108,3.5,314.35,306.9,7.450000000000003,0.4132991672688391,0.093125,-2309.2508793520806,-2254.5223313922493,-54.7285479598313,DI Water 60,60
109,4.0,316.15,307.9,8.25,0.4132991672688391,0.103125,-2322.4738842282813,-2261.868445212361,-60.60543901592018,DI Water 60,60
110,4.5,317.95,308.4,9.549999999999995,0.4132991672688391,0.1193749999999999,-2335.6968891044826,-2265.5415021224167,-70.15538698206592,DI Water 60,60
111,5.0,319.95,309.4,10.549999999999995,0.4132991672688391,0.1318749999999999,-2350.389116744706,-2272.887615942529,-77.50150080217736,DI Water 60,60
112,5.5,321.95,310.15,11.799999999999995,0.4132991672688391,0.1474999999999999,-2365.081344384929,-2278.397201307612,-86.684143077317,DI Water 60,60
