,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
209,44.5,361.95,343.15,12.666666666666671,0.8799272593465607,0.1583333333333333,-384.9316218079615,-364.9379362436855,-19.993685564276007,Al2O3 DI Water 60,60
210,45.0,362.15,343.15,12.666666666666671,0.8799272593465607,0.1583333333333333,-385.14432059056014,-364.9379362436855,-20.206384346874643,Al2O3 DI Water 60,60
211,45.5,361.75,342.9,12.916666666666671,0.8799272593465607,0.1614583333333334,-384.7189230253628,-364.6720627654372,-20.046860259925666,Al2O3 DI Water 60,60
212,46.0,361.95,343.9,11.583333333333329,0.8799272593465607,0.1447916666666666,-384.9316218079615,-365.7355566784306,-19.196065129530894,Al2O3 DI Water 60,60
213,46.5,361.75,343.9,11.25,0.8799272593465607,0.140625,-384.7189230253628,-365.7355566784306,-18.9833663469322,Al2O3 DI Water 60,60
214,47.0,362.15,344.65,10.833333333333329,0.8799272593465607,0.1354166666666666,-385.14432059056014,-366.5331771131756,-18.61114347738453,Al2O3 DI Water 60,60
215,47.5,362.35,344.9,10.583333333333329,0.8799272593465607,0.1322916666666666,-385.3570193731588,-366.799050591424,-18.55796878173487,Al2O3 DI Water 60,60
216,48.0,361.95,345.15,10.0,0.8799272593465607,0.125,-384.9316218079615,-367.0649240696724,-17.866697738289133,Al2O3 DI Water 60,60
217,48.5,362.55,345.4,10.083333333333329,0.8799272593465607,0.1260416666666666,-385.5697181557575,-367.3307975479207,-18.238920607836803,Al2O3 DI Water 60,60
218,49.0,361.95,345.4,10.083333333333329,0.8799272593465607,0.1260416666666666,-384.9316218079615,-367.3307975479207,-17.60082426004078,Al2O3 DI Water 60,60
219,49.5,362.15,345.65,9.833333333333329,0.8799272593465607,0.1229166666666666,-385.14432059056014,-367.596671026169,-17.547649564391122,Al2O3 DI Water 60,60
220,50.0,361.95,344.15,11.666666666666671,0.8799272593465607,0.1458333333333334,-384.9316218079615,-366.0014301566789,-18.9301916512826,Al2O3 DI Water 60,60
221,50.5,362.35,344.9,10.916666666666671,0.8799272593465607,0.1364583333333334,-385.3570193731588,-366.799050591424,-18.55796878173487,Al2O3 DI Water 60,60
222,51.0,362.15,344.9,10.916666666666671,0.8799272593465607,0.1364583333333334,-385.14432059056014,-366.799050591424,-18.34526999913618,Al2O3 DI Water 60,60
223,51.5,361.95,345.15,10.666666666666671,0.8799272593465607,0.1333333333333334,-384.9316218079615,-367.0649240696724,-17.866697738289133,Al2O3 DI Water 60,60
224,52.0,362.55,345.15,11.0,0.8799272593465607,0.1375,-385.5697181557575,-367.0649240696724,-18.504794086085155,Al2O3 DI Water 60,60
225,52.5,362.55,345.15,11.333333333333329,0.8799272593465607,0.1416666666666666,-385.5697181557575,-367.0649240696724,-18.504794086085155,Al2O3 DI Water 60,60
