,Te - AVG (oC),Time (Min),Tc - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Resistance (oC/W)
128,83.4,3.181980515339464,1.0606601717798212,35.35533905932738,1.0606601717798212,0.013258252147247759
129,83.6,1.040832999733066,0.25,14.433756729740653,0.25,0.003124999999999989
130,83.8,3.4278273002005224,1.3228756555322962,37.5,1.3228756555322956,0.016535945694153693
131,84.0,4.989572459974234,2.383755790064634,24.99999999999999,2.383755790064634,0.029796947375807924
133,84.6,6.363961030678928,1.4142135623730951,53.033008588991066,1.4142135623730951,0.017677669529663674
134,84.8,0.7637626158259743,0.25,0.0,0.25,0.0031250000000000062
135,85.0,6.658328118479393,3.003470215156685,62.91528696058959,3.0034702151566837,0.03754337768945855
136,85.2,4.873397172404482,1.341640786499872,33.54101966249684,1.3416407864998738,0.016770509831248417
137,85.4,0.3535533905932738,0.0,0.0,0.0,0.0
140,85.8,3.5,0.38188130791298514,28.867513459481305,0.38188130791298686,0.004773516348912331
141,86.0,9.085244447270897,2.9140464420915926,48.5197554266988,2.9140464420915917,0.036425580526144904
142,86.2,1.3149778198382913,0.7905694150420957,0.0,0.7905694150420948,0.009882117688026198
144,86.4,8.110839308340061,1.6293440105643457,60.99375455928332,1.6293440105643453,0.02036680013205432
145,86.6,3.5590260840104366,0.5400617248673217,0.0,0.5400617248673217,0.006750771560841519
146,86.8,12.799414049088341,2.1549361939509954,60.207972893961475,2.1549361939509946,0.02693670242438744
147,87.0,12.800824626214949,2.6054163668105823,51.7069735249619,2.6054163668105805,0.03278723569805367
148,87.2,10.08230022255724,1.2054563451241236,43.50127712046063,1.2054563451241194,0.01553167851144768
150,87.4,11.507244095206579,1.5138251770487459,43.301270189221945,1.5138251770487459,0.018922814713109328
151,87.6,2.7838821814150108,0.2886751345948139,14.433756729740653,0.28867513459481275,0.0009065103311971327
153,88.0,15.217588508038979,5.409482415166908,51.234753829797995,5.409482415166908,0.06761853018958634
155,88.66666666666667,1.0606601717798212,1.0606601717798212,0.0,1.0606601717798212,0.013258252147247778
157,89.33333333333333,0.7071067811865476,0.3535533905932738,0.0,0.3535533905932738,0.004419417382415906
158,89.6,0.7071067811865476,0.1767766952966369,0.0,0.1767766952966369,0.002209708691207953
159,89.66666666666667,1.0606601717798212,0.7071067811865476,0.0,0.7071067811865476,0.008838834764831832
160,89.8,0.7071067811865476,0.1767766952966369,0.0,0.1767766952966369,0.002209708691207953
161,90.0,4.30987238790199,0.945383520059451,76.66520514548957,0.945383520059452,0.01181729400074316
163,90.33333333333333,2.631539473388154,0.7071067811865465,16.448516042488432,0.7071067811865472,0.008838834764831847
165,90.66666666666667,3.718198488515641,0.22360679774997957,16.44851604248844,0.22360679774997883,0.0027950849718747285
166,91.0,3.663892348699281,0.8237544710479126,67.14268128396421,0.8237544710479144,0.010296930888098918
167,91.2,1.1902380714238083,0.23935677693908514,0.0,0.2393567769390847,0.0029919597117385624
168,91.33333333333333,4.242640687119285,0.0,0.0,0.0,0.0
169,91.4,8.04673846971554,2.309401076758502,43.30127018922193,2.309401076758503,0.02886751345948128
170,91.6,0.7071067811865476,0.3535533905932738,0.0,0.3535533905932738,0.004419417382415936
171,91.66666666666667,3.791437722025775,0.9117291264405227,16.44851604248853,0.9117291264405232,0.011396614080506566
172,91.8,1.8506755523321747,0.5477225575051647,0.0,0.5477225575051659,0.006846531968814576
173,92.0,3.0472470011002204,1.858058382393015,71.27786699817496,1.8580583823930164,0.023225729779912694
174,92.33333333333333,2.4748737341529163,1.590990257669732,26.00738741204124,1.590990257669732,0.019887378220871676
175,92.4,1.4142135623730951,1.590990257669732,35.35533905932738,1.590990257669732,0.019887378220871648
177,92.8,1.7677669529663689,1.7677669529663689,17.67766952966369,1.7677669529663689,0.02209708691207961
178,93.0,4.034228550788861,1.9472202409246562,65.4585308929758,1.9472202409246535,0.024340253011558174
