,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
46,322.95,6.5,310.4,12.549999999999997,0.4132991672688391,0.15687499999999996,-2372.4274582050407,-2280.23372976264,-92.1937284424007
47,323.15,7.0,305.15,18.0,0.44662974527439064,0.225,-2165.5233693014425,-2044.900065425763,-120.62330387567954
48,323.95,6.5,308.9,15.049999999999997,0.346638011257736,0.18812499999999996,-2853.5034745922676,-2720.9360188348555,-132.56745575741206
49,324.15,6.5,309.4,14.75,0.4132991672688391,0.184375,-2381.2427947891742,-2272.8876159425286,-108.35517884664569
50,324.95,7.0,311.15,13.799999999999997,0.4132991672688391,0.17249999999999996,-2387.1196858452636,-2285.7433151277237,-101.37637071753988
51,325.15,7.0,309.9,15.25,0.346638011257736,0.190625,-2864.073637177576,-2729.7444876559457,-134.32914952163037
52,325.75,7.0,309.9,15.850000000000001,0.4132991672688391,0.19812500000000002,-2392.996576901353,-2276.560672852584,-116.43590404876886
53,325.81666666666666,7.5,305.9,19.916666666666664,0.44662974527439064,0.2489583333333333,-2183.393488394136,-2049.926036420583,-133.46745197355312
54,326.34999999999997,7.5,311.9,14.450000000000003,0.4132991672688391,0.18062500000000004,-2397.4042451934197,-2291.2529004928074,-106.1513447006123
55,326.75,7.5,310.65,16.1,0.3799685892632876,0.20125,-2628.7628448940623,-2499.235433102802,-129.52741179126042
56,327.34999999999997,7.5,310.65,16.700000000000003,0.4132991672688391,0.20875000000000005,-2404.750359013531,-2282.0702582176677,-122.68010079586338
57,327.75,8.0,312.4,15.350000000000001,0.44662974527439064,0.19187500000000002,-2196.349324736339,-2093.484451709023,-102.86487302731621
58,327.81666666666666,8.0,306.4,21.416666666666664,0.4799603232799422,0.2677083333333333,-2000.63462443128,-1869.930699859914,-130.70392457136586
59,328.54999999999995,8.0,311.65,16.9,0.3799685892632876,0.21125,-2643.244170435942,-2507.2806139594018,-135.96355647654036
60,328.81666666666666,8.5,307.15,21.666666666666664,0.4799603232799422,0.2708333333333333,-2006.7375314151568,-1874.5078800978217,-132.22965131733508
61,328.95,8.0,311.4,17.549999999999997,0.4132991672688391,0.21937499999999996,-2416.5041411257102,-2287.5798435827514,-128.9242975429588
62,329.54999999999995,8.5,313.15,16.4,0.44662974527439064,0.205,-2208.4116551239067,-2098.510422703843,-109.90123242006393
63,330.34999999999997,8.5,312.15,18.200000000000003,0.4132991672688391,0.22750000000000004,-2426.788700473866,-2293.0894289478356,-133.69927152603054
64,330.81666666666666,9.0,308.4,22.416666666666664,0.5132909012854937,0.2802083333333333,-1834.2827511311066,-1709.9888169142018,-124.29393421690474
65,330.95,9.0,313.9,17.049999999999997,0.4799603232799422,0.21312499999999995,-2019.7570663140943,-1915.7025022389917,-104.05456407510269
66,331.34999999999997,9.0,312.9,18.450000000000003,0.4132991672688391,0.23062500000000002,-2434.134814293978,-2298.599014312919,-135.53579998105897
67,331.95,9.0,312.9,19.049999999999997,0.44662974527439064,0.23812499999999998,-2224.494762307331,-2096.8350990389026,-127.65966326842818
68,332.15,9.5,314.65,17.5,0.4799603232799422,0.21875,-2027.0805546947468,-1920.2796824768993,-106.80087221784743
69,332.75,9.5,313.4,19.35,0.44662974527439064,0.241875,-2229.855798035139,-2100.185746368783,-129.6700516663559
70,332.81666666666666,9.5,308.9,23.916666666666664,0.5132909012854937,0.2989583333333333,-1845.3721727712766,-1712.7611723242444,-132.6110004470322
71,333.15,9.75,314.775,18.375,0.44662974527439064,0.2296875,-2240.2706404244013,-2116.1638587969037,-124.10678162749787
72,334.34999999999997,10.0,314.15,20.200000000000003,0.4799603232799422,0.25250000000000006,-2040.5069500592763,-1917.2282289849609,-123.2787210743154
73,334.4833333333333,10.0,310.15,24.333333333333336,0.5466214792910453,0.3041666666666667,-1679.65665060746,-1557.463282234004,-122.193368373456
74,334.54999999999995,10.0,314.65,19.9,0.4132991672688391,0.24874999999999997,-2457.6423785183347,-2311.454713498114,-146.18766502022072
75,334.75,10.5,316.15,18.6,0.4799603232799422,0.2325,-2042.9481128528273,-1929.4340429527147,-113.51406990011264
76,335.34999999999997,10.5,314.9,20.450000000000003,0.4799603232799422,0.25562500000000005,-2046.6098570431532,-1921.8054092228685,-124.80444782028462
77,336.15,10.75,316.15,20.0,0.4799603232799422,0.25,-2058.247371024941,-1935.498170266573,-122.74920075836815
78,336.75,11.0,315.15,21.6,0.4799603232799422,0.27,-2055.1539268205815,-1923.3311359688378,-131.82279085174378
79,336.81666666666666,10.5,311.15,25.666666666666664,0.5466214792910453,0.3208333333333333,-1691.3738229172438,-1562.4849275096258,-128.88889540761807
80,337.15,11.5,317.15,20.0,0.5132909012854937,0.25,-1869.3992529916445,-1758.5050365899451,-110.8942164016994
81,337.4833333333333,11.0,311.65,25.83333333333333,0.5466214792910453,0.32291666666666663,-1694.7215864343245,-1564.9957501474362,-129.72583628688835
82,337.54999999999995,11.0,315.65,21.900000000000006,0.44662974527439064,0.27375000000000005,-2262.0220124019866,-2115.263659353243,-146.75835304874363
83,337.95,11.5,315.9,22.049999999999997,0.4799603232799422,0.27562499999999995,-2062.4774152012337,-1927.9083162067454,-134.5690989944883
84,338.54999999999995,11.75,317.025,21.525000000000006,0.4799603232799422,0.2690625000000001,-2072.942577600755,-1940.7835111740253,-132.15906642672974
85,339.15,11.75,314.4,24.75,0.5299561902882695,0.30937499999999996,-1802.9987232764056,-1672.995438474754,-130.00328480165138
86,339.34999999999997,12.5,318.65,20.700000000000003,0.5132909012854937,0.25875000000000004,-1881.5976167958313,-1766.8221028200726,-114.77551397575871
87,339.75,12.0,317.15,22.599999999999994,0.4799603232799422,0.2824999999999999,-2073.462647772212,-1935.5369499365916,-137.92569783562067
