,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
292,00:24:20,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
293,00:24:25,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
294,00:24:30,331.65,313.15,18.5,0.4799603232799422,40,0.4625,90,0,1,-2024.0291012028085,-1911.1253220010838,-112.90377920172477
295,00:24:35,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
296,00:24:40,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
297,00:24:45,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
298,00:24:50,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
299,00:24:55,331.9,313.15,18.75,0.4799603232799422,40,0.46875,90,0,1,-2025.5548279487778,-1911.1253220010838,-114.429505947694
300,00:25:00,331.9,313.15,18.75,0.5132909012854937,40,0.46875,90,0,1,-1840.2895211861987,-1736.3261933096055,-103.96332787659321
301,00:25:05,331.9,313.15,18.75,0.5132909012854937,40,0.46875,90,0,1,-1840.2895211861987,-1736.3261933096055,-103.96332787659321
302,00:25:10,331.9,313.15,18.75,0.5132909012854937,40,0.46875,90,0,1,-1840.2895211861987,-1736.3261933096055,-103.96332787659321
303,00:25:15,331.9,313.4,18.5,0.5132909012854937,40,0.4625,90,0,1,-1840.2895211861987,-1737.7123710146268,-102.57715017157193
304,00:25:20,331.9,313.4,18.5,0.5132909012854937,40,0.4625,90,0,1,-1840.2895211861987,-1737.7123710146268,-102.57715017157193
305,00:25:25,331.9,313.4,18.5,0.5132909012854937,40,0.4625,90,0,1,-1840.2895211861987,-1737.7123710146268,-102.57715017157193
306,00:25:30,331.9,313.4,18.5,0.5132909012854937,40,0.4625,90,0,1,-1840.2895211861987,-1737.7123710146268,-102.57715017157193
307,00:25:35,332.15,313.4,18.75,0.5132909012854937,40,0.46875,90,0,1,-1841.6756988912196,-1737.7123710146268,-103.96332787659276
308,00:25:40,332.15,313.15,19.0,0.5132909012854937,40,0.475,90,0,1,-1841.6756988912196,-1736.3261933096055,-105.34950558161404
309,00:25:45,332.4,313.15,19.25,0.5132909012854937,40,0.48125,90,0,1,-1843.0618765962408,-1736.3261933096055,-106.73568328663532
310,00:25:50,332.4,313.4,19.0,0.5132909012854937,40,0.475,90,0,1,-1843.0618765962408,-1737.7123710146268,-105.34950558161404
311,00:25:55,332.4,313.4,19.0,0.5132909012854937,40,0.475,90,0,1,-1843.0618765962408,-1737.7123710146268,-105.34950558161404
312,00:26:00,332.4,313.4,19.0,0.5132909012854937,40,0.475,90,0,1,-1843.0618765962408,-1737.7123710146268,-105.34950558161404
313,00:26:05,332.4,313.4,19.0,0.5132909012854937,40,0.475,90,0,1,-1843.0618765962408,-1737.7123710146268,-105.34950558161404
314,00:26:10,332.65,313.4,19.25,0.5132909012854937,40,0.48125,90,0,1,-1844.4480543012621,-1737.7123710146268,-106.73568328663532
315,00:26:15,332.65,313.65,19.0,0.5132909012854937,40,0.475,90,0,1,-1844.4480543012621,-1739.098548719648,-105.34950558161404
316,00:26:20,332.9,313.4,19.5,0.5132909012854937,40,0.4875,90,0,1,-1845.8342320062834,-1737.7123710146268,-108.1218609916566
317,00:26:25,332.9,313.65,19.25,0.5132909012854937,40,0.48125,90,0,1,-1845.8342320062834,-1739.098548719648,-106.73568328663532
318,00:26:30,332.9,313.65,19.25,0.5132909012854937,40,0.48125,90,0,1,-1845.8342320062834,-1739.098548719648,-106.73568328663532
319,00:26:35,332.9,313.65,19.25,0.5132909012854937,40,0.48125,90,0,1,-1845.8342320062834,-1739.098548719648,-106.73568328663532
320,00:26:40,333.15,313.65,19.5,0.5132909012854937,40,0.4875,90,0,1,-1847.220409711305,-1739.098548719648,-108.12186099165683
