,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
42,21.0,361.47999999999996,324.9,36.58,1.4545464241622692,0.457292,1126.0849832941951,1012.130715592243,113.95426770195218
43,21.5,362.47999999999996,325.9,36.58,1.5038756796104855,0.457292,1229.7100669154395,1105.6127532767098,124.0973136387297
44,22.0,361.15,325.9,35.25,1.5038756796104855,0.440625,1225.1980541450864,1105.6127532767098,119.58530086837663
45,22.5,362.82,326.9,35.92,1.5038756796104855,0.448958,1230.8635137890635,1109.0052440814864,121.85826970757716
46,23.0,363.15,327.4,35.75,1.5038756796104855,0.446875,1231.9830357546398,1110.7014894838746,121.28154627076515
47,23.5,364.47999999999996,328.15,36.33,1.5038756796104855,0.454167,1236.4950485249926,1113.245857587457,123.24919093753556
48,24.0,364.15,327.65,36.5,1.5532049350587018,0.45625,1333.089280117859,1199.4691820145997,133.62009810325935
49,24.5,363.15,327.4,35.75,1.5532049350587018,0.446875,1329.4284555122904,1198.5539758632076,130.8744796490828
50,25.0,364.47999999999996,328.65,35.83,1.5532049350587018,0.447917,1334.2973522376965,1203.1300066201686,131.16734561752787
51,25.5,364.47999999999996,329.9,34.58,1.5532049350587018,0.432292,1334.2973522376965,1207.7060373771294,126.59131486056708
52,26.0,364.15,329.15,35.0,1.601200967386696,0.4375,1425.2278800825686,1288.2431875028901,136.9846925796785
53,26.5,364.82,330.4,34.42,1.601200967386696,0.430208,1427.8501584833798,1293.1354979521645,134.71466053121526
54,27.0,365.47999999999996,329.4,36.08,1.601200967386696,0.451042,1430.4332984005964,1289.221649592745,141.21164880785136
55,27.5,365.47999999999996,331.4,34.08,1.6505302228349124,0.426042,1522.6324393039167,1380.6511721169913,141.98126718692538
56,28.0,365.82,331.15,34.67,1.6505302228349124,0.433333,1524.04891908219,1379.6096428682608,144.43927621392913
57,28.5,366.15,332.4,33.75,1.6505302228349124,0.421875,1525.4237376905141,1384.8172891119127,140.60644857860143
58,29.0,366.82,332.65,34.17,1.6505302228349124,0.427083,1528.2150360771116,1385.8588183606432,142.35621771646834
59,29.5,366.47999999999996,332.65,33.83,1.6505302228349124,0.422917,1526.798556298838,1385.8588183606432,140.93973793819487
60,30.0,366.47999999999996,332.65,33.83,1.6998594782831287,0.422917,1616.527161136058,1467.3045190785574,149.2226420575007
61,30.5,366.82,332.65,34.17,1.6998594782831287,0.427083,1618.0268861818622,1467.3045190785574,150.7223671033048
62,31.0,366.82,332.9,33.92,1.6998594782831287,0.423958,1618.0268861818622,1468.4072580828251,149.61962809903707
63,31.5,366.82,333.15,33.67,1.6998594782831287,0.420833,1618.0268861818622,1469.5099970870929,148.51688909476934
64,32.0,366.82,332.9,33.92,1.6998594782831287,0.423958,1618.0268861818622,1468.4072580828251,149.61962809903707
