,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
32,353.82,17.0,321.4,32.42,1.3558879132658366,0.405208,895.6074267448303,813.5442511892727,82.06317555555756
33,355.47999999999996,17.5,320.9,34.58,1.3558879132658366,0.432292,899.8093043334245,812.2786254095756,87.53067892384888
34,356.15,18.0,321.4,34.75,1.4052171687140529,0.434375,1007.3186754162625,909.0333350520477,98.28534036421479
35,357.15,18.5,322.9,34.25,1.4052171687140529,0.428125,1010.1470305346573,913.2758677296398,96.87116280501755
36,357.82,19.0,323.15,34.67,1.4052171687140529,0.433333,1012.0420284639818,913.9829565092383,98.05907195474344
37,358.15,19.5,323.15,35.0,1.4052171687140529,0.4375,1012.975385653052,913.9829565092383,98.99242914381364
38,359.15,20.0,324.4,34.75,1.4545464241622692,0.434375,1118.8265512617854,1010.5731121518119,108.25343910997356
39,359.82,20.5,324.4,35.42,1.4545464241622692,0.442708,1120.9137398719633,1010.5731121518119,110.34062772015147
40,361.15,22.0,325.9,35.25,1.5038756796104855,0.440625,1225.1980541450864,1105.6127532767098,119.58530086837663
41,361.47999999999996,21.0,324.9,36.58,1.4545464241622692,0.457292,1126.0849832941951,1012.130715592243,113.95426770195218
42,362.47999999999996,21.5,325.9,36.58,1.5038756796104855,0.457292,1229.7100669154395,1105.6127532767098,124.0973136387297
43,362.82,22.5,326.9,35.92,1.5038756796104855,0.448958,1230.8635137890635,1109.0052440814864,121.85826970757716
44,363.15,23.75,327.4,35.75,1.5285403073345938,0.446875,1280.705745633465,1154.6277326735412,126.07801295992397
45,364.15,25.0,328.4,35.75,1.577202951222699,0.446875,1379.1585801002138,1243.8561847587448,135.30239534146892
46,364.47999999999996,24.666666666666668,328.9,35.58,1.5367618499092963,0.444792,1301.696584333462,1174.6939671949183,127.0026171385435
47,364.82,26.5,330.4,34.42,1.601200967386696,0.430208,1427.8501584833798,1293.1354979521645,134.71466053121526
48,365.47999999999996,27.25,330.4,35.08,1.6258655951108043,0.438542,1476.5328688522566,1334.9364108548682,141.59645799738837
49,365.82,28.0,331.15,34.67,1.6505302228349124,0.433333,1524.04891908219,1379.6096428682608,144.43927621392913
50,366.15,28.5,332.4,33.75,1.6505302228349124,0.421875,1525.4237376905141,1384.8172891119127,140.60644857860143
51,366.47999999999996,29.75,332.65,33.83,1.6751948505590204,0.422917,1571.6628587174482,1426.5816687196002,145.0811899978478
52,366.82,31.625,332.86875,33.95125,1.6936933213521017,0.424348625,1606.8004049187684,1458.0887031175523,148.71170180121598
53,367.82,35.5,335.15,32.67,1.749188733731345,0.408333,1709.9181427136039,1558.0421552130508,151.87598750055326
54,368.15,36.625,335.7125,32.4375,1.7491887337313448,0.40546875,1711.452243597448,1560.6570999014214,150.7951436960265
55,368.47999999999996,36.0,335.525,32.955,1.7491887337313448,0.4119795,1712.986344481292,1559.7854516719644,153.20089280932757
56,368.82,40.2,337.1,31.720000000000006,1.7875855595937402,0.396458,1780.9705674528166,1627.8427123026484,153.12785515016836
57,369.15,44.27777777777778,337.65,31.5,1.7918518735784508,0.39375000000000004,1789.9488658530183,1637.2416992522674,152.707166600751
58,369.47999999999996,49.0,337.9,31.58,1.797184766059339,0.39479200000000003,1800.788213632309,1646.872191691992,153.91602194031702
59,369.82,44.8,338.1,31.720000000000006,1.797184766059339,0.396458,1802.445320898291,1647.8469606719814,154.5983602263096
60,370.15,46.75,337.65,32.5,1.797184766059339,0.40625,1804.0536897152733,1645.6537304670055,158.39995924826792
61,370.47999999999996,46.0,337.9,32.58,1.797184766059339,0.407292,1805.6620585322555,1646.8721916919922,158.78986684026336
