,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
233,00:19:25,67.6,48.0,460,60,90,0,1
234,00:19:30,67.4,48.0,460,60,90,0,1
235,00:19:35,68.0,48.0,460,60,90,0,1
236,00:19:40,67.8,48.0,460,60,90,0,1
237,00:19:45,68.2,48.5,460,60,90,0,1
238,00:19:50,68.2,48.5,460,60,90,0,1
239,00:19:55,68.4,48.5,460,60,90,0,1
240,00:20:00,68.4,48.5,460,60,90,0,1
241,00:20:05,68.4,48.5,460,60,90,0,1
242,00:20:10,68.4,48.5,460,60,90,0,1
243,00:20:15,68.2,48.5,460,60,90,0,1
244,00:20:20,68.2,48.5,460,60,90,0,1
245,00:20:25,68.4,48.5,460,60,90,0,1
246,00:20:30,68.8,48.5,460,60,90,0,1
247,00:20:35,69.0,48.5,460,60,90,0,1
248,00:20:40,69.0,49.0,460,60,90,0,1
249,00:20:45,69.0,49.0,460,60,90,0,1
250,00:20:50,68.8,49.0,460,60,90,0,1
251,00:20:55,69.0,49.0,460,60,90,0,1
252,00:21:00,69.0,49.0,460,60,90,0,1
253,00:21:05,69.4,49.0,460,60,90,0,1
254,00:21:10,69.6,49.0,460,60,90,0,1
255,00:21:15,69.4,49.0,460,60,90,0,1
256,00:21:20,69.2,49.0,460,60,90,0,1
257,00:21:25,69.6,49.0,460,60,90,0,1
258,00:21:30,69.4,49.0,460,60,90,0,1
259,00:21:35,69.4,49.0,460,60,90,0,1
260,00:21:40,69.4,49.0,460,60,90,0,1
261,00:21:45,69.8,49.0,460,60,90,0,1
262,00:21:50,70.0,49.0,460,60,90,0,1
263,00:21:55,69.8,49.0,460,60,90,0,1
264,00:22:00,70.0,49.5,460,60,90,0,1
265,00:22:05,70.2,49.5,460,60,90,0,1
266,00:22:10,70.4,49.75,460,60,90,0,1
267,00:22:15,70.0,49.75,460,60,90,0,1
268,00:22:20,69.8,49.5,460,60,90,0,1
269,00:22:25,70.4,49.75,460,60,90,0,1
270,00:22:30,70.0,49.5,460,60,90,0,1
271,00:22:35,70.4,49.5,460,60,90,0,1
272,00:22:40,70.4,49.5,460,60,90,0,1
273,00:22:45,69.4,48.5,460,60,90,0,1
274,00:22:50,69.4,48.75,460,60,90,0,1
275,00:22:55,69.4,48.75,460,60,90,0,1
276,00:23:00,69.4,48.75,485,60,90,0,1
277,00:23:05,69.4,48.75,485,60,90,0,1
278,00:23:10,70.0,48.75,485,60,90,0,1
279,00:23:15,70.0,49.0,485,60,90,0,1
280,00:23:20,70.4,49.0,485,60,90,0,1
281,00:23:25,71.6,49.75,485,60,90,0,1
282,00:23:30,71.6,49.75,485,60,90,0,1
283,00:23:35,71.4,49.75,485,60,90,0,1
284,00:23:40,71.4,49.75,485,60,90,0,1
285,00:23:45,71.6,49.75,485,60,90,0,1
286,00:23:50,71.0,48.75,485,60,90,0,1
287,00:23:55,72.0,49.75,485,60,90,0,1
288,00:24:00,71.8,49.75,485,60,90,0,1
289,00:24:05,71.8,50.0,485,60,90,0,1
290,00:24:10,72.2,50.25,485,60,90,0,1
291,00:24:15,71.8,50.25,485,60,90,0,1
292,00:24:20,72.2,50.0,485,60,90,0,1
293,00:24:25,72.2,50.0,485,60,90,0,1
294,00:24:30,72.0,50.25,510,60,90,0,1
295,00:24:35,72.0,50.5,510,60,90,0,1
296,00:24:40,72.0,50.5,510,60,90,0,1
297,00:24:45,72.4,50.5,510,60,90,0,1
298,00:24:50,72.2,50.5,510,60,90,0,1
299,00:24:55,72.8,50.5,510,60,90,0,1
300,00:25:00,72.6,50.5,510,60,90,0,1
301,00:25:05,72.8,50.75,510,60,90,0,1
302,00:25:10,72.8,50.75,510,60,90,0,1
303,00:25:15,72.8,50.75,510,60,90,0,1
304,00:25:20,72.8,50.5,510,60,90,0,1
305,00:25:25,73.0,50.75,510,60,90,0,1
306,00:25:30,73.0,50.75,510,60,90,0,1
307,00:25:35,72.8,50.75,510,60,90,0,1
308,00:25:40,72.8,50.75,510,60,90,0,1
309,00:25:45,73.0,50.75,510,60,90,0,1
310,00:25:50,73.2,50.75,510,60,90,0,1
311,00:25:55,73.0,50.75,510,60,90,0,1
312,00:26:00,73.4,50.75,510,60,90,0,1
313,00:26:05,73.0,50.75,510,60,90,0,1
314,00:26:10,72.8,50.75,510,60,90,0,1
315,00:26:15,72.2,49.75,510,60,90,0,1
316,00:26:20,72.4,50.25,510,60,90,0,1
317,00:26:25,73.6,50.75,510,60,90,0,1
318,00:26:30,72.4,49.75,510,60,90,0,1
319,00:26:35,73.6,50.75,510,60,90,0,1
320,00:26:40,73.4,50.75,510,60,90,0,1
321,00:26:45,73.4,51.0,510,60,90,0,1
322,00:26:50,73.6,51.0,510,60,90,0,1
323,00:26:55,73.6,51.0,510,60,90,0,1
324,00:27:00,73.6,51.0,510,60,90,0,1
325,00:27:05,73.6,51.0,510,60,90,0,1
326,00:27:10,73.8,51.0,510,60,90,0,1
327,00:27:15,73.8,51.0,510,60,90,0,1
328,00:27:20,74.0,51.25,510,60,90,0,1
329,00:27:25,74.2,51.5,510,60,90,0,1
