,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
39,00:03:15,311.75,308.15,3.6000000000000014,0.4132991672688391,60,0.060000000000000026,90,0,1,-2290.150983419791,-2263.704973667389,-26.446009752402006
40,00:03:20,312.15,307.9,4.25,0.4132991672688391,60,0.07083333333333333,90,0,1,-2293.089428947835,-2261.868445212361,-31.220983735473965
41,00:03:25,311.95,308.15,3.799999999999997,0.4132991672688391,60,0.06333333333333328,90,0,1,-2291.620206183813,-2263.704973667389,-27.915232516424112
42,00:03:30,312.54999999999995,308.15,4.399999999999999,0.4132991672688391,60,0.0733333333333333,90,0,1,-2296.0278744758793,-2263.704973667389,-32.32290080849043
43,00:03:35,312.54999999999995,308.15,4.399999999999999,0.4132991672688391,60,0.0733333333333333,90,0,1,-2296.0278744758793,-2263.704973667389,-32.32290080849043
44,00:03:40,312.75,308.15,4.600000000000001,0.4132991672688391,60,0.07666666666666669,90,0,1,-2297.4970972399024,-2263.704973667389,-33.79212357251345
45,00:03:45,312.95,308.15,4.799999999999997,0.4132991672688391,60,0.07999999999999995,90,0,1,-2298.966320003925,-2263.704973667389,-35.26134633653601
46,00:03:50,313.54999999999995,308.15,5.399999999999999,0.4132991672688391,60,0.08999999999999998,90,0,1,-2303.3739882959912,-2263.704973667389,-39.669014628602326
47,00:03:55,313.34999999999997,308.15,5.200000000000003,0.4132991672688391,60,0.08666666666666671,90,0,1,-2301.904765531969,-2263.704973667389,-38.19979186458022
48,00:04:00,313.75,308.65,5.100000000000001,0.4132991672688391,60,0.08500000000000002,90,0,1,-2304.843211060014,-2267.3780305774444,-37.465180482569394
49,00:04:05,313.95,308.65,5.299999999999997,0.4132991672688391,60,0.08833333333333329,90,0,1,-2306.3124338240364,-2267.3780305774444,-38.934403246591955
50,00:04:10,314.15,308.9,5.25,0.4132991672688391,60,0.0875,90,0,1,-2307.7816565880585,-2269.2145590324726,-38.56709755558586
51,00:04:15,314.34999999999997,308.9,5.450000000000003,0.4132991672688391,60,0.09083333333333338,90,0,1,-2309.2508793520806,-2269.2145590324726,-40.03632031960797
52,00:04:20,314.54999999999995,309.15,5.399999999999999,0.4132991672688391,60,0.08999999999999998,90,0,1,-2310.7201021161027,-2271.0510874875004,-39.669014628602326
53,00:04:25,314.95,309.15,5.799999999999997,0.4132991672688391,60,0.09666666666666662,90,0,1,-2313.658547644148,-2271.0510874875004,-42.60746015664745
54,00:04:30,315.15,309.15,6.0,0.4132991672688391,60,0.1,90,0,1,-2315.12777040817,-2271.0510874875004,-44.076682920669555
55,00:04:35,315.15,309.15,6.0,0.4132991672688391,60,0.1,90,0,1,-2315.12777040817,-2271.0510874875004,-44.076682920669555
56,00:04:40,315.54999999999995,309.15,6.399999999999999,0.4132991672688391,60,0.10666666666666665,90,0,1,-2318.0662159362146,-2271.0510874875004,-47.01512844871422
57,00:04:45,316.15,309.15,7.0,0.4132991672688391,60,0.11666666666666667,90,0,1,-2322.4738842282813,-2271.0510874875004,-51.422796740780996
58,00:04:50,315.95,309.15,6.799999999999997,0.4132991672688391,60,0.11333333333333329,90,0,1,-2321.0046614642597,-2271.0510874875004,-49.953573976759344
59,00:04:55,316.34999999999997,309.15,7.200000000000003,0.4132991672688391,60,0.12000000000000005,90,0,1,-2323.943106992304,-2271.0510874875004,-52.89201950480356
60,00:05:00,316.34999999999997,309.4,6.950000000000003,0.4132991672688391,60,0.11583333333333339,90,0,1,-2323.943106992304,-2272.8876159425286,-51.055491049775355
61,00:05:05,316.75,309.65,7.100000000000001,0.4132991672688391,60,0.11833333333333336,90,0,1,-2326.8815525203486,-2274.7241443975563,-52.157408122792276
62,00:05:10,316.75,309.9,6.850000000000001,0.4132991672688391,60,0.1141666666666667,90,0,1,-2326.8815525203486,-2276.560672852584,-50.32087966776453
63,00:05:15,317.34999999999997,309.9,7.450000000000003,0.4132991672688391,60,0.12416666666666672,90,0,1,-2331.2892208124154,-2276.560672852584,-54.7285479598313
64,00:05:20,317.34999999999997,309.9,7.450000000000003,0.4132991672688391,60,0.12416666666666672,90,0,1,-2331.2892208124154,-2276.560672852584,-54.7285479598313
65,00:05:25,317.75,310.15,7.600000000000001,0.4132991672688391,60,0.12666666666666668,90,0,1,-2334.2276663404605,-2278.397201307612,-55.83046503284868
